Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PlayerID
Victor Wembanyama,SAS,C,20.0,71.0,71.0,29.66197183098592,7.76056338028169,16.704225352112676,0.465,1.8028169014084507,5.549295774647887,0.325,5.957746478873239,11.154929577464788,0.534,4.112676056338028,5.169014084507042,0.796,2.267605633802817,8.366197183098592,10.633802816901408,3.859154929577465,1.2394366197183098,3.5774647887323945,3.661971830985916,2.1549295774647885,21.43661971830986,12768960.0,127
Coby White,CHI,PG,23.0,79.0,78.0,36.46835443037975,6.848101265822785,15.30379746835443,0.447,2.6455696202531644,7.037974683544304,0.376,4.2025316455696204,8.265822784810126,0.508,2.759493670886076,3.2911392405063293,0.838,0.5569620253164557,3.974683544303797,4.531645569620253,5.1265822784810124,0.6708860759493671,0.2278481012658227,2.1012658227848102,2.354430379746836,19.10126582278481,12000000.0,128
Kyrie Irving,DAL,SG,31.0,58.0,58.0,35.0,9.689655172413794,19.5,0.497,2.9827586206896552,7.258620689655173,0.411,6.706896551724138,12.241379310344827,0.548,3.2758620689655173,3.6206896551724137,0.905,0.7586206896551724,4.241379310344827,5.0,5.155172413793103,1.2758620689655171,0.4827586206896552,1.827586206896552,1.9310344827586208,25.63793103448276,41000000.0,129
Jaren Jackson Jr.,MEM,C,24.0,66.0,66.0,32.18181818181818,7.818181818181818,17.606060606060606,0.444,1.7727272727272727,5.545454545454546,0.32,6.045454545454546,12.06060606060606,0.501,5.106060606060606,6.318181818181818,0.808,1.2878787878787878,4.242424242424242,5.53030303030303,2.333333333333333,1.2121212121212122,1.606060606060606,2.4242424242424243,3.560606060606061,22.51515151515152,25257798.0,130
Cam Thomas,BRK,SG,22.0,66.0,51.0,31.439393939393938,7.96969696969697,18.03030303030303,0.442,2.1818181818181817,6.0,0.364,5.787878787878788,12.030303030303031,0.481,4.333333333333333,5.0606060606060606,0.856,0.4242424242424242,2.8181818181818183,3.242424242424242,2.909090909090909,0.6818181818181818,0.2424242424242424,1.878787878787879,2.090909090909091,22.454545454545453,4041249.0,131
Donovan Mitchell,CLE,SG,27.0,55.0,55.0,35.30909090909091,9.145454545454545,19.8,0.462,3.309090909090909,8.981818181818182,0.368,5.836363636363636,10.818181818181818,0.539,5.0,5.781818181818182,0.865,0.8363636363636363,4.254545454545455,5.090909090909091,6.054545454545455,1.8363636363636364,0.5454545454545454,2.8,2.145454545454545,26.6,35410310.0,132
Collin Sexton,UTA,SG,25.0,78.0,51.0,26.602564102564106,6.487179487179487,13.307692307692308,0.487,1.641025641025641,4.166666666666667,0.394,4.846153846153846,9.14102564102564,0.53,4.076923076923077,4.743589743589744,0.859,0.9102564102564102,1.7179487179487178,2.628205128205128,4.910256410256411,0.7948717948717948,0.2307692307692307,2.1153846153846154,1.9743589743589745,18.692307692307693,18350000.0,133
Miles Bridges,CHO,SF,25.0,69.0,67.0,37.40579710144928,8.101449275362318,17.536231884057973,0.462,2.27536231884058,6.521739130434782,0.349,5.826086956521739,11.014492753623188,0.529,2.5217391304347827,3.057971014492753,0.825,1.0289855072463767,6.2898550724637685,7.318840579710145,3.347826086956522,0.9420289855072465,0.4782608695652174,2.0,1.710144927536232,21.0,27173913.0,134
Franz Wagner,ORL,SF,22.0,72.0,72.0,32.458333333333336,7.333333333333333,15.22222222222222,0.482,1.3055555555555556,4.638888888888889,0.281,6.027777777777778,10.583333333333334,0.57,3.763888888888889,4.430555555555555,0.85,1.0,4.291666666666667,5.291666666666667,3.736111111111111,1.0555555555555556,0.3888888888888889,1.9027777777777777,2.333333333333333,19.73611111111111,7007092.0,135
Cade Cunningham,DET,PG,22.0,62.0,62.0,33.45161290322581,8.451612903225806,18.82258064516129,0.449,1.9193548387096773,5.403225806451613,0.355,6.532258064516129,13.419354838709678,0.487,3.838709677419355,4.419354838709677,0.869,0.532258064516129,3.7903225806451615,4.32258064516129,7.483870967741935,0.9032258064516128,0.3548387096774194,3.419354838709677,2.467741935483871,22.661290322580644,13940809.0,136
